"ward_code","ward","district_code","district","province_code","province"
"3","Phường Vĩnh Phúc","2","Quận Ba Đình","1","Hà Nội"
"4","Phường Cống Vị","2","Quận Ba Đình","1","Hà Nội"
"5","Phường Liễu Giai","2","Quận Ba Đình","1","Hà Nội"
"6","Phường Nguyễn Trung Trực","2","Quận Ba Đình","1","Hà Nội"
"7","Phường Quán Thánh","2","Quận Ba Đình","1","Hà Nội"
"8","Phường Ngọc Hà","2","Quận Ba Đình","1","Hà Nội"
"9","Phường Điện Biên","2","Quận Ba Đình","1","Hà Nội"
"10","Phường Đội Cấn","2","Quận Ba Đình","1","Hà Nội"
"11","Phường Ngọc Khánh","2","Quận Ba Đình","1","Hà Nội"
"12","Phường Kim Mã","2","Quận Ba Đình","1","Hà Nội"
"13","Phường Giảng Võ","2","Quận Ba Đình","1","Hà Nội"
"14","Phường Thành Công","2","Quận Ba Đình","1","Hà Nội"
"15","Phường Phúc Tân","7","Quận Hoàn Kiếm","1","Hà Nội"
"16","Phường Đồng Xuân","7","Quận Hoàn Kiếm","1","Hà Nội"
"17","Phường Hàng Mã","7","Quận Hoàn Kiếm","1","Hà Nội"
"18","Phường Hàng Buồm","7","Quận Hoàn Kiếm","1","Hà Nội"
"19","Phường Hàng Đào","7","Quận Hoàn Kiếm","1","Hà Nội"
"20","Phường Hàng Bồ","7","Quận Hoàn Kiếm","1","Hà Nội"
"21","Phường Cửa Đông","7","Quận Hoàn Kiếm","1","Hà Nội"
"22","Phường Lý Thái Tổ","7","Quận Hoàn Kiếm","1","Hà Nội"
"23","Phường Hàng Bạc","7","Quận Hoàn Kiếm","1","Hà Nội"
"24","Phường Hàng Gai","7","Quận Hoàn Kiếm","1","Hà Nội"
"25","Phường Chương Dương","7","Quận Hoàn Kiếm","1","Hà Nội"
"26","Phường Hàng Trống","7","Quận Hoàn Kiếm","1","Hà Nội"
"27","Phường Cửa Nam","7","Quận Hoàn Kiếm","1","Hà Nội"
"28","Phường Hàng Bông","7","Quận Hoàn Kiếm","1","Hà Nội"
"29","Phường Tràng Tiền","7","Quận Hoàn Kiếm","1","Hà Nội"
"30","Phường Trần Hưng Đạo","7","Quận Hoàn Kiếm","1","Hà Nội"
"31","Phường Phan Chu Trinh","7","Quận Hoàn Kiếm","1","Hà Nội"
"32","Phường Hàng Bài","7","Quận Hoàn Kiếm","1","Hà Nội"
"33","Phường Phú Thượng","10","Quận Tây Hồ","1","Hà Nội"
"34","Phường Nhật Tân","10","Quận Tây Hồ","1","Hà Nội"
"35","Phường Tứ Liên","10","Quận Tây Hồ","1","Hà Nội"
"36","Phường Quảng An","10","Quận Tây Hồ","1","Hà Nội"
"37","Phường Xuân La","10","Quận Tây Hồ","1","Hà Nội"
"38","Phường Yên Phụ","10","Quận Tây Hồ","1","Hà Nội"
"39","Phường Bưởi","10","Quận Tây Hồ","1","Hà Nội"
"40","Phường Thụy Khuê","10","Quận Tây Hồ","1","Hà Nội"
"41","Phường Thượng Thanh","9","Quận Long Biên","1","Hà Nội"
"42","Phường Ngọc Thụy","9","Quận Long Biên","1","Hà Nội"
"43","Phường Giang Biên","9","Quận Long Biên","1","Hà Nội"
"44","Phường Đức Giang","9","Quận Long Biên","1","Hà Nội"
"45","Phường Việt Hưng","9","Quận Long Biên","1","Hà Nội"
"46","Phường Gia Thụy","9","Quận Long Biên","1","Hà Nội"
"47","Phường Ngọc Lâm","9","Quận Long Biên","1","Hà Nội"
"48","Phường Phúc Lợi","9","Quận Long Biên","1","Hà Nội"
"49","Phường Bồ Đề","9","Quận Long Biên","1","Hà Nội"
"50","Phường Sài Đồng","9","Quận Long Biên","1","Hà Nội"
"51","Phường Long Biên","9","Quận Long Biên","1","Hà Nội"
"52","Phường Thạch Bàn","9","Quận Long Biên","1","Hà Nội"
"53","Phường Phúc Đồng","9","Quận Long Biên","1","Hà Nội"
"54","Phường Cự Khối","9","Quận Long Biên","1","Hà Nội"
"55","Phường Nghĩa Đô","3","Quận Cầu Giấy","1","Hà Nội"
"56","Phường Nghĩa Tân","3","Quận Cầu Giấy","1","Hà Nội"
"57","Phường Mai Dịch","3","Quận Cầu Giấy","1","Hà Nội"
"58","Phường Dịch Vọng","3","Quận Cầu Giấy","1","Hà Nội"
"59","Phường Dịch Vọng Hậu","3","Quận Cầu Giấy","1","Hà Nội"
"60","Phường Quan Hoa","3","Quận Cầu Giấy","1","Hà Nội"
"61","Phường Yên Hòa","3","Quận Cầu Giấy","1","Hà Nội"
"62","Phường Trung Hòa","3","Quận Cầu Giấy","1","Hà Nội"
"63","Phường Cát Linh","4","Quận Đống Đa","1","Hà Nội"
"64","Phường Văn Miếu","4","Quận Đống Đa","1","Hà Nội"
"65","Phường Quốc Tử Giám","4","Quận Đống Đa","1","Hà Nội"
"66","Phường Láng Thượng","4","Quận Đống Đa","1","Hà Nội"
"67","Phường Ô Chợ Dừa","4","Quận Đống Đa","1","Hà Nội"
"68","Phường Văn Chương","4","Quận Đống Đa","1","Hà Nội"
"69","Phường Hàng Bột","4","Quận Đống Đa","1","Hà Nội"
"70","Phường Láng Hạ","4","Quận Đống Đa","1","Hà Nội"
"71","Phường Khâm Thiên","4","Quận Đống Đa","1","Hà Nội"
"72","Phường Thổ Quan","4","Quận Đống Đa","1","Hà Nội"
"73","Phường Nam Đồng","4","Quận Đống Đa","1","Hà Nội"
"74","Phường Trung Phụng","4","Quận Đống Đa","1","Hà Nội"
"75","Phường Quang Trung","4","Quận Đống Đa","1","Hà Nội"
"76","Phường Trung Liệt","4","Quận Đống Đa","1","Hà Nội"
"77","Phường Phương Liên","4","Quận Đống Đa","1","Hà Nội"
"78","Phường Thịnh Quang","4","Quận Đống Đa","1","Hà Nội"
"79","Phường Trung Tự","4","Quận Đống Đa","1","Hà Nội"
"80","Phường Kim Liên","4","Quận Đống Đa","1","Hà Nội"
"81","Phường Phương Mai","4","Quận Đống Đa","1","Hà Nội"
"82","Phường Ngã Tư Sở","4","Quận Đống Đa","1","Hà Nội"
"83","Phường Khương Thượng","4","Quận Đống Đa","1","Hà Nội"
"84","Phường Nguyễn Du","6","Quận Hai Bà Trưng","1","Hà Nội"
"85","Phường Bạch Đằng","6","Quận Hai Bà Trưng","1","Hà Nội"
"86","Phường Phạm Đình Hổ","6","Quận Hai Bà Trưng","1","Hà Nội"
"87","Phường Bùi Thị Xuân","6","Quận Hai Bà Trưng","1","Hà Nội"
"88","Phường Ngô Thì Nhậm","6","Quận Hai Bà Trưng","1","Hà Nội"
"89","Phường Lê Đại Hành","6","Quận Hai Bà Trưng","1","Hà Nội"
"90","Phường Đồng Nhân","6","Quận Hai Bà Trưng","1","Hà Nội"
"91","Phường Phố Huế","6","Quận Hai Bà Trưng","1","Hà Nội"
"92","Phường Đống Mác","6","Quận Hai Bà Trưng","1","Hà Nội"
"93","Phường Thanh Lương","6","Quận Hai Bà Trưng","1","Hà Nội"
"94","Phường Thanh Nhàn","6","Quận Hai Bà Trưng","1","Hà Nội"
"95","Phường Cầu Dền","6","Quận Hai Bà Trưng","1","Hà Nội"
"96","Phường Bách Khoa","6","Quận Hai Bà Trưng","1","Hà Nội"
"97","Phường Đồng Tâm","6","Quận Hai Bà Trưng","1","Hà Nội"
"98","Phường Vĩnh Tuy","6","Quận Hai Bà Trưng","1","Hà Nội"
"99","Phường Bạch Mai","6","Quận Hai Bà Trưng","1","Hà Nội"
"100","Phường Quỳnh Mai","6","Quận Hai Bà Trưng","1","Hà Nội"
"101","Phường Quỳnh Lôi","6","Quận Hai Bà Trưng","1","Hà Nội"
"102","Phường Minh Khai","6","Quận Hai Bà Trưng","1","Hà Nội"
"103","Phường Trương Định","6","Quận Hai Bà Trưng","1","Hà Nội"
"104","Phường Thanh Trì","8","Quận Hoàng Mai","1","Hà Nội"
"105","Phường Vĩnh Hưng","8","Quận Hoàng Mai","1","Hà Nội"
"106","Phường Định Công","8","Quận Hoàng Mai","1","Hà Nội"
"107","Phường Mai Động","8","Quận Hoàng Mai","1","Hà Nội"
"108","Phường Tương Mai","8","Quận Hoàng Mai","1","Hà Nội"
"109","Phường Đại Kim","8","Quận Hoàng Mai","1","Hà Nội"
"110","Phường Tân Mai","8","Quận Hoàng Mai","1","Hà Nội"
"111","Phường Hoàng Văn Thụ","8","Quận Hoàng Mai","1","Hà Nội"
"112","Phường Giáp Bát","8","Quận Hoàng Mai","1","Hà Nội"
"113","Phường Lĩnh Nam","8","Quận Hoàng Mai","1","Hà Nội"
"114","Phường Thịnh Liệt","8","Quận Hoàng Mai","1","Hà Nội"
"115","Phường Trần Phú","8","Quận Hoàng Mai","1","Hà Nội"
"116","Phường Hoàng Liệt","8","Quận Hoàng Mai","1","Hà Nội"
"117","Phường Yên Sở","8","Quận Hoàng Mai","1","Hà Nội"
"118","Phường Nhân Chính","11","Quận Thanh Xuân","1","Hà Nội"
"119","Phường Thượng Đình","11","Quận Thanh Xuân","1","Hà Nội"
"120","Phường Khương Trung","11","Quận Thanh Xuân","1","Hà Nội"
"121","Phường Khương Mai","11","Quận Thanh Xuân","1","Hà Nội"
"122","Phường Thanh Xuân Trung","11","Quận Thanh Xuân","1","Hà Nội"
"123","Phường Phương Liệt","11","Quận Thanh Xuân","1","Hà Nội"
"124","Phường Hạ Đình","11","Quận Thanh Xuân","1","Hà Nội"
"125","Phường Khương Đình","11","Quận Thanh Xuân","1","Hà Nội"
"126","Phường Thanh Xuân Bắc","11","Quận Thanh Xuân","1","Hà Nội"
"127","Phường Thanh Xuân Nam","11","Quận Thanh Xuân","1","Hà Nội"
"128","Phường Kim Giang","11","Quận Thanh Xuân","1","Hà Nội"
"129","Thị trấn Sóc Sơn","23","Huyện Sóc Sơn","1","Hà Nội"
"130","Xã Bắc Sơn","23","Huyện Sóc Sơn","1","Hà Nội"
"131","Xã Minh Trí","23","Huyện Sóc Sơn","1","Hà Nội"
"132","Xã Hồng Kỳ","23","Huyện Sóc Sơn","1","Hà Nội"
"133","Xã Nam Sơn","23","Huyện Sóc Sơn","1","Hà Nội"
"134","Xã Trung Giã","23","Huyện Sóc Sơn","1","Hà Nội"
"135","Xã Tân Hưng","23","Huyện Sóc Sơn","1","Hà Nội"
"136","Xã Minh Phú","23","Huyện Sóc Sơn","1","Hà Nội"
"137","Xã Phù Linh","23","Huyện Sóc Sơn","1","Hà Nội"
"138","Xã Bắc Phú","23","Huyện Sóc Sơn","1","Hà Nội"
"139","Xã Tân Minh","23","Huyện Sóc Sơn","1","Hà Nội"
"140","Xã Quang Tiến","23","Huyện Sóc Sơn","1","Hà Nội"
"141","Xã Hiền Ninh","23","Huyện Sóc Sơn","1","Hà Nội"
"142","Xã Tân Dân","23","Huyện Sóc Sơn","1","Hà Nội"
"143","Xã Tiên Dược","23","Huyện Sóc Sơn","1","Hà Nội"
"144","Xã Việt Long","23","Huyện Sóc Sơn","1","Hà Nội"
"145","Xã Xuân Giang","23","Huyện Sóc Sơn","1","Hà Nội"
"146","Xã Mai Đình","23","Huyện Sóc Sơn","1","Hà Nội"
"147","Xã Đức Hòa","23","Huyện Sóc Sơn","1","Hà Nội"
"148","Xã Thanh Xuân","23","Huyện Sóc Sơn","1","Hà Nội"
"149","Xã Đông Xuân","23","Huyện Sóc Sơn","1","Hà Nội"
"150","Xã Kim Lũ","23","Huyện Sóc Sơn","1","Hà Nội"
"151","Xã Phú Cường","23","Huyện Sóc Sơn","1","Hà Nội"
"152","Xã Phú Minh","23","Huyện Sóc Sơn","1","Hà Nội"
"153","Xã Phù Lỗ","23","Huyện Sóc Sơn","1","Hà Nội"
"154","Xã Xuân Thu","23","Huyện Sóc Sơn","1","Hà Nội"
"155","Thị trấn Đông Anh","15","Huyện Đông Anh","1","Hà Nội"
"156","Xã Xuân Nộn","15","Huyện Đông Anh","1","Hà Nội"
"157","Xã Thụy Lâm","15","Huyện Đông Anh","1","Hà Nội"
"158","Xã Bắc Hồng","15","Huyện Đông Anh","1","Hà Nội"
"159","Xã Nguyên Khê","15","Huyện Đông Anh","1","Hà Nội"
"160","Xã Nam Hồng","15","Huyện Đông Anh","1","Hà Nội"
"161","Xã Tiên Dương","15","Huyện Đông Anh","1","Hà Nội"
"162","Xã Vân Hà","15","Huyện Đông Anh","1","Hà Nội"
"163","Xã Uy Nỗ","15","Huyện Đông Anh","1","Hà Nội"
"164","Xã Vân Nội","15","Huyện Đông Anh","1","Hà Nội"
"165","Xã Liên Hà","15","Huyện Đông Anh","1","Hà Nội"
"166","Xã Việt Hùng","15","Huyện Đông Anh","1","Hà Nội"
"167","Xã Kim Nỗ","15","Huyện Đông Anh","1","Hà Nội"
"168","Xã Kim Chung","15","Huyện Đông Anh","1","Hà Nội"
"169","Xã Dục Tú","15","Huyện Đông Anh","1","Hà Nội"
"170","Xã Đại Mạch","15","Huyện Đông Anh","1","Hà Nội"
"171","Xã Vĩnh Ngọc","15","Huyện Đông Anh","1","Hà Nội"
"172","Xã Cổ Loa","15","Huyện Đông Anh","1","Hà Nội"
"173","Xã Hải Bối","15","Huyện Đông Anh","1","Hà Nội"
"174","Xã Xuân Canh","15","Huyện Đông Anh","1","Hà Nội"
"175","Xã Võng La","15","Huyện Đông Anh","1","Hà Nội"
"176","Xã Tàm Xá","15","Huyện Đông Anh","1","Hà Nội"
"177","Xã Mai Lâm","15","Huyện Đông Anh","1","Hà Nội"
"178","Xã Đông Hội","15","Huyện Đông Anh","1","Hà Nội"
"179","Thị trấn Yên Viên","16","Huyện Gia Lâm","1","Hà Nội"
"180","Xã Yên Thường","16","Huyện Gia Lâm","1","Hà Nội"
"181","Xã Yên Viên","16","Huyện Gia Lâm","1","Hà Nội"
"182","Xã Ninh Hiệp","16","Huyện Gia Lâm","1","Hà Nội"
"183","Xã Đình Xuyên","16","Huyện Gia Lâm","1","Hà Nội"
"184","Xã Dương Hà","16","Huyện Gia Lâm","1","Hà Nội"
"185","Xã Phù Đổng","16","Huyện Gia Lâm","1","Hà Nội"
"186","Xã Trung Mầu","16","Huyện Gia Lâm","1","Hà Nội"
"187","Xã Lệ Chi","16","Huyện Gia Lâm","1","Hà Nội"
"188","Xã Cổ Bi","16","Huyện Gia Lâm","1","Hà Nội"
"189","Xã Đặng Xá","16","Huyện Gia Lâm","1","Hà Nội"
"190","Xã Phú Thị","16","Huyện Gia Lâm","1","Hà Nội"
"191","Xã Kim Sơn","16","Huyện Gia Lâm","1","Hà Nội"
"192","Thị trấn Trâu Quỳ","16","Huyện Gia Lâm","1","Hà Nội"
"193","Xã Dương Quang","16","Huyện Gia Lâm","1","Hà Nội"
"194","Xã Dương Xá","16","Huyện Gia Lâm","1","Hà Nội"
"195","Xã Đông Dư","16","Huyện Gia Lâm","1","Hà Nội"
"196","Xã Đa Tốn","16","Huyện Gia Lâm","1","Hà Nội"
"197","Xã Kiêu Kỵ","16","Huyện Gia Lâm","1","Hà Nội"
"198","Xã Bát Tràng","16","Huyện Gia Lâm","1","Hà Nội"
"199","Xã Kim Lan","16","Huyện Gia Lâm","1","Hà Nội"
"200","Xã Văn Đức","16","Huyện Gia Lâm","1","Hà Nội"
"201","Phường Cầu Diễn","688","Quận Nam Từ Liêm","1","Hà Nội"
"202","Phường Thượng Cát","28","Quận Bắc Từ Liêm","1","Hà Nội"
"203","Phường Liên Mạc","28","Quận Bắc Từ Liêm","1","Hà Nội"
"204","Phường Đông Ngạc","28","Quận Bắc Từ Liêm","1","Hà Nội"
"205","Phường Đức Thắng","28","Quận Bắc Từ Liêm","1","Hà Nội"
"206","Phường Thụy Phương","28","Quận Bắc Từ Liêm","1","Hà Nội"
"207","Phường Tây Tựu","28","Quận Bắc Từ Liêm","1","Hà Nội"
"208","Phường Xuân Đỉnh","28","Quận Bắc Từ Liêm","1","Hà Nội"
"209","Phường Xuân Tảo","28","Quận Bắc Từ Liêm","1","Hà Nội"
"210","Phường Minh Khai","28","Quận Bắc Từ Liêm","1","Hà Nội"
"211","Phường Cổ Nhuế 1","28","Quận Bắc Từ Liêm","1","Hà Nội"
"212","Phường Cổ Nhuế 2","28","Quận Bắc Từ Liêm","1","Hà Nội"
"213","Phường Phú Diễn","28","Quận Bắc Từ Liêm","1","Hà Nội"
"214","Phường Phúc Diễn","28","Quận Bắc Từ Liêm","1","Hà Nội"
"215","Phường Xuân Phương","688","Quận Nam Từ Liêm","1","Hà Nội"
"216","Phường Phương Canh","688","Quận Nam Từ Liêm","1","Hà Nội"
"217","Phường Mỹ Đình 1","688","Quận Nam Từ Liêm","1","Hà Nội"
"218","Phường Mỹ Đình 2","688","Quận Nam Từ Liêm","1","Hà Nội"
"219","Phường Tây Mỗ","688","Quận Nam Từ Liêm","1","Hà Nội"
"220","Phường Mễ Trì","688","Quận Nam Từ Liêm","1","Hà Nội"
"221","Phường Phú Đô","688","Quận Nam Từ Liêm","1","Hà Nội"
"222","Phường Đại Mỗ","688","Quận Nam Từ Liêm","1","Hà Nội"
"223","Phường Trung Văn","688","Quận Nam Từ Liêm","1","Hà Nội"
"224","Thị trấn Văn Điển","26","Huyện Thanh Trì","1","Hà Nội"
"225","Xã Tân Triều","26","Huyện Thanh Trì","1","Hà Nội"
"226","Xã Thanh Liệt","26","Huyện Thanh Trì","1","Hà Nội"
"227","Xã Tả Thanh Oai","26","Huyện Thanh Trì","1","Hà Nội"
"228","Xã Hữu Hòa","26","Huyện Thanh Trì","1","Hà Nội"
"229","Xã Tam Hiệp","26","Huyện Thanh Trì","1","Hà Nội"
"230","Xã Tứ Hiệp","26","Huyện Thanh Trì","1","Hà Nội"
"231","Xã Yên Mỹ","26","Huyện Thanh Trì","1","Hà Nội"
"232","Xã Vĩnh Quỳnh","26","Huyện Thanh Trì","1","Hà Nội"
"233","Xã Ngũ Hiệp","26","Huyện Thanh Trì","1","Hà Nội"
"234","Xã Duyên Hà","26","Huyện Thanh Trì","1","Hà Nội"
"235","Xã Ngọc Hồi","26","Huyện Thanh Trì","1","Hà Nội"
"236","Xã Vạn Phúc","26","Huyện Thanh Trì","1","Hà Nội"
"237","Xã Đại áng","26","Huyện Thanh Trì","1","Hà Nội"
"238","Xã Liên Ninh","26","Huyện Thanh Trì","1","Hà Nội"
"239","Xã Đông Mỹ","26","Huyện Thanh Trì","1","Hà Nội"
"240","Phường Quang Trung","264","Thành phố Hà Giang","24","Hà Giang"
"241","Phường Trần Phú","264","Thành phố Hà Giang","24","Hà Giang"
"242","Phường Ngọc Hà","264","Thành phố Hà Giang","24","Hà Giang"
"243","Phường Nguyễn Trãi","264","Thành phố Hà Giang","24","Hà Giang"
"244","Phường Minh Khai","264","Thành phố Hà Giang","24","Hà Giang"
"245","Xã Ngọc Đường","264","Thành phố Hà Giang","24","Hà Giang"
"246","Xã Kim Thạch","272","Huyện Vị Xuyên","24","Hà Giang"
"247","Xã Phú Linh","272","Huyện Vị Xuyên","24","Hà Giang"
"248","Xã Kim Linh","272","Huyện Vị Xuyên","24","Hà Giang"
"249","Thị trấn Phó Bảng","267","Huyện Đồng Văn","24","Hà Giang"
"250","Xã Lũng Cú","267","Huyện Đồng Văn","24","Hà Giang"
"251","Xã Má Lé","267","Huyện Đồng Văn","24","Hà Giang"
"252","Thị trấn Đồng Văn","267","Huyện Đồng Văn","24","Hà Giang"
"253","Xã Lũng Táo","267","Huyện Đồng Văn","24","Hà Giang"
"254","Xã Phố Là","267","Huyện Đồng Văn","24","Hà Giang"
"255","Xã Thài Phìn Tủng","267","Huyện Đồng Văn","24","Hà Giang"
"256","Xã Sủng Là","267","Huyện Đồng Văn","24","Hà Giang"
"257","Xã Xà Phìn","267","Huyện Đồng Văn","24","Hà Giang"
"258","Xã Tả Phìn","267","Huyện Đồng Văn","24","Hà Giang"
"259","Xã Tả Lủng","267","Huyện Đồng Văn","24","Hà Giang"
"260","Xã Phố Cáo","267","Huyện Đồng Văn","24","Hà Giang"
"261","Xã Sính Lủng","267","Huyện Đồng Văn","24","Hà Giang"
"262","Xã Sảng Tủng","267","Huyện Đồng Văn","24","Hà Giang"
"263","Xã Lũng Thầu","267","Huyện Đồng Văn","24","Hà Giang"
"264","Xã Hố Quáng Phìn","267","Huyện Đồng Văn","24","Hà Giang"
"265","Xã Vần Chải","267","Huyện Đồng Văn","24","Hà Giang"
"266","Xã Lũng Phìn","267","Huyện Đồng Văn","24","Hà Giang"
"267","Xã Sủng Trái","267","Huyện Đồng Văn","24","Hà Giang"
"268","Thị trấn Mèo Vạc","269","Huyện Mèo Vạc","24","Hà Giang"
"269","Xã Thượng Phùng","269","Huyện Mèo Vạc","24","Hà Giang"
"270","Xã Pải Lủng","269","Huyện Mèo Vạc","24","Hà Giang"
"271","Xã Xín Cái","269","Huyện Mèo Vạc","24","Hà Giang"
"272","Xã Pả Vi","269","Huyện Mèo Vạc","24","Hà Giang"
"273","Xã Giàng Chu Phìn","269","Huyện Mèo Vạc","24","Hà Giang"
"274","Xã Sủng Trà","269","Huyện Mèo Vạc","24","Hà Giang"
"275","Xã Sủng Máng","269","Huyện Mèo Vạc","24","Hà Giang"
"276","Xã Sơn Vĩ","269","Huyện Mèo Vạc","24","Hà Giang"
"277","Xã Tả Lủng","269","Huyện Mèo Vạc","24","Hà Giang"
"278","Xã Cán Chu Phìn","269","Huyện Mèo Vạc","24","Hà Giang"
"279","Xã Lũng Pù","269","Huyện Mèo Vạc","24","Hà Giang"
"280","Xã Lũng Chinh","269","Huyện Mèo Vạc","24","Hà Giang"
"281","Xã Tát Ngà","269","Huyện Mèo Vạc","24","Hà Giang"
"282","Xã Nậm Ban","269","Huyện Mèo Vạc","24","Hà Giang"
"283","Xã Khâu Vai","269","Huyện Mèo Vạc","24","Hà Giang"
"284","Xã Niêm Tòng","269","Huyện Mèo Vạc","24","Hà Giang"
"285","Xã Niêm Sơn","269","Huyện Mèo Vạc","24","Hà Giang"
"286","Thị trấn Yên Minh","274","Huyện Yên Minh","24","Hà Giang"
"287","Xã Thắng Mố","274","Huyện Yên Minh","24","Hà Giang"
"288","Xã Phú Lũng","274","Huyện Yên Minh","24","Hà Giang"
"289","Xã Sủng Tráng","274","Huyện Yên Minh","24","Hà Giang"
"290","Xã Bạch Đích","274","Huyện Yên Minh","24","Hà Giang"
"291","Xã Na Khê","274","Huyện Yên Minh","24","Hà Giang"
"292","Xã Sủng Thài","274","Huyện Yên Minh","24","Hà Giang"
"293","Xã Hữu Vinh","274","Huyện Yên Minh","24","Hà Giang"
"294","Xã Lao Và Chải","274","Huyện Yên Minh","24","Hà Giang"
"295","Xã Mậu Duệ","274","Huyện Yên Minh","24","Hà Giang"
"296","Xã Đông Minh","274","Huyện Yên Minh","24","Hà Giang"
"297","Xã Mậu Long","274","Huyện Yên Minh","24","Hà Giang"
"298","Xã Ngam La","274","Huyện Yên Minh","24","Hà Giang"
"299","Xã Ngọc Long","274","Huyện Yên Minh","24","Hà Giang"
"300","Xã Đường Thượng","274","Huyện Yên Minh","24","Hà Giang"
"301","Xã Lũng Hồ","274","Huyện Yên Minh","24","Hà Giang"
"302","Xã Du Tiến","274","Huyện Yên Minh","24","Hà Giang"
"303","Xã Du Già","274","Huyện Yên Minh","24","Hà Giang"
"304","Thị trấn Tam Sơn","270","Huyện Quản Bạ","24","Hà Giang"
"305","Xã Bát Đại Sơn","270","Huyện Quản Bạ","24","Hà Giang"
"306","Xã Nghĩa Thuận","270","Huyện Quản Bạ","24","Hà Giang"
"307","Xã Cán Tỷ","270","Huyện Quản Bạ","24","Hà Giang"
"308","Xã Cao Mã Pờ","270","Huyện Quản Bạ","24","Hà Giang"
"309","Xã Thanh Vân","270","Huyện Quản Bạ","24","Hà Giang"
"310","Xã Tùng Vài","270","Huyện Quản Bạ","24","Hà Giang"
"311","Xã Đông Hà","270","Huyện Quản Bạ","24","Hà Giang"
"312","Xã Quản Bạ","270","Huyện Quản Bạ","24","Hà Giang"
"313","Xã Lùng Tám","270","Huyện Quản Bạ","24","Hà Giang"
"314","Xã Quyết Tiến","270","Huyện Quản Bạ","24","Hà Giang"
"315","Xã Tả Ván","270","Huyện Quản Bạ","24","Hà Giang"
"316","Xã Thái An","270","Huyện Quản Bạ","24","Hà Giang"
"317","Thị trấn Vị Xuyên","272","Huyện Vị Xuyên","24","Hà Giang"
"318","Thị trấn Nông Trường Việt Lâm","272","Huyện Vị Xuyên","24","Hà Giang"
"319","Xã Minh Tân","272","Huyện Vị Xuyên","24","Hà Giang"
"320","Xã Thuận Hòa","272","Huyện Vị Xuyên","24","Hà Giang"
"321","Xã Tùng Bá","272","Huyện Vị Xuyên","24","Hà Giang"
"322","Xã Thanh Thủy","272","Huyện Vị Xuyên","24","Hà Giang"
"323","Xã Thanh Đức","272","Huyện Vị Xuyên","24","Hà Giang"
"324","Xã Phong Quang","272","Huyện Vị Xuyên","24","Hà Giang"
"325","Xã Xín Chải","272","Huyện Vị Xuyên","24","Hà Giang"
"326","Xã Phương Tiến","272","Huyện Vị Xuyên","24","Hà Giang"
"327","Xã Lao Chải","272","Huyện Vị Xuyên","24","Hà Giang"
"328","Xã Phương Độ","264","Thành phố Hà Giang","24","Hà Giang"
"329","Xã Phương Thiện","264","Thành phố Hà Giang","24","Hà Giang"
"330","Xã Cao Bồ","272","Huyện Vị Xuyên","24","Hà Giang"
"331","Xã Đạo Đức","272","Huyện Vị Xuyên","24","Hà Giang"
"332","Xã Thượng Sơn","272","Huyện Vị Xuyên","24","Hà Giang"
"333","Xã Linh Hồ","272","Huyện Vị Xuyên","24","Hà Giang"
"334","Xã Quảng Ngần","272","Huyện Vị Xuyên","24","Hà Giang"
"335","Xã Việt Lâm","272","Huyện Vị Xuyên","24","Hà Giang"
"336","Xã Ngọc Linh","272","Huyện Vị Xuyên","24","Hà Giang"
"337","Xã Ngọc Minh","272","Huyện Vị Xuyên","24","Hà Giang"
"338","Xã Bạch Ngọc","272","Huyện Vị Xuyên","24","Hà Giang"
"339","Xã Trung Thành","272","Huyện Vị Xuyên","24","Hà Giang"
"340","Xã Minh Sơn","265","Huyện Bắc Mê","24","Hà Giang"
"341","Xã Giáp Trung","265","Huyện Bắc Mê","24","Hà Giang"
"342","Xã Yên Định","265","Huyện Bắc Mê","24","Hà Giang"
"343","Thị trấn Yên Phú","265","Huyện Bắc Mê","24","Hà Giang"
"344","Xã Minh Ngọc","265","Huyện Bắc Mê","24","Hà Giang"
"345","Xã Yên Phong","265","Huyện Bắc Mê","24","Hà Giang"
"346","Xã Lạc Nông","265","Huyện Bắc Mê","24","Hà Giang"
"347","Xã Phú Nam","265","Huyện Bắc Mê","24","Hà Giang"
"348","Xã Yên Cường","265","Huyện Bắc Mê","24","Hà Giang"
"349","Xã Thượng Tân","265","Huyện Bắc Mê","24","Hà Giang"
"350","Xã Đường Âm","265","Huyện Bắc Mê","24","Hà Giang"
"351","Xã Đường Hồng","265","Huyện Bắc Mê","24","Hà Giang"
"352","Xã Phiêng Luông","265","Huyện Bắc Mê","24","Hà Giang"
"353","Thị trấn Vinh Quang","268","Huyện Hoàng Su Phì","24","Hà Giang"
"354","Xã Bản Máy","268","Huyện Hoàng Su Phì","24","Hà Giang"
"355","Xã Thàng Tín","268","Huyện Hoàng Su Phì","24","Hà Giang"
"356","Xã Thèn Chu Phìn","268","Huyện Hoàng Su Phì","24","Hà Giang"
"357","Xã Pố Lồ","268","Huyện Hoàng Su Phì","24","Hà Giang"
"358","Xã Bản Phùng","268","Huyện Hoàng Su Phì","24","Hà Giang"
"359","Xã Túng Sán","268","Huyện Hoàng Su Phì","24","Hà Giang"
"360","Xã Chiến Phố","268","Huyện Hoàng Su Phì","24","Hà Giang"
"361","Xã Đản Ván","268","Huyện Hoàng Su Phì","24","Hà Giang"
"362","Xã Tụ Nhân","268","Huyện Hoàng Su Phì","24","Hà Giang"
"363","Xã Tân Tiến","268","Huyện Hoàng Su Phì","24","Hà Giang"
